Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,SEO Title,SEO Description,Status
mayur-nazar-trio,Mayur Nazar Trio,"<p>Celebrate the timeless bond of Raksha Bandhan with the Mayur Nazar Trio by Delisha Karigari a handcrafted collection of three premium designer rakhis inspired by the elegance of peacock feathers and the protective symbolism of the Evil Eye. Featuring intricate beadwork, vibrant blue hues, premium stones, and handcrafted detailing, each rakhi is thoughtfully designed to represent love, blessings, prosperity, and protection. Whether you're tying a rakhi to your brother, gifting family, or celebrating traditions with style, this elegant set brings together modern craftsmanship and timeless Indian heritage. Every Delisha Karigari creation is lovingly handcrafted, making each piece a meaningful keepsake that your loved ones will cherish long after Raksha Bandhan.</p>",Delisha Karigari,Arts & Entertainment > Party & Celebration > Gift Giving > Gift Wrapping,Nazariya Collection,"Festive, Gift, Handcrafted, Nazariya, Nazariya Collection, Peacock, Rakhi, Set",TRUE,Title,Default Title,DK-029,100,shopify,20,deny,manual,599.00,,TRUE,TRUE,https://res.cloudinary.com/m5yixuhw/image/upload/v1785441060/029_2_dnfh5b.png,1,Mayur Nazar Trio,Mayur Nazar Trio | Delisha Karigari,"A luxurious handcrafted set of three designer Evil Eye rakhis inspired by the majestic peacock. The Mayur Nazar Trio combines premium craftsmanship, elegant blu",active
mayur-nazar-trio,,,,,,,,,,,,,,,,,,,,https://res.cloudinary.com/m5yixuhw/image/upload/v1785420045/029_3_haqedq.png,2,Mayur Nazar Trio - Image 2,,,
shree-ganesh-rakhi-trio,Shree Ganesh Rakhi Trio,"<p>Begin your Raksha Bandhan celebrations with divine blessings through the Shree Ganesh Rakhi Trio by Delisha Karigari. Inspired by Lord Ganesha the remover of obstacles and the symbol of new beginnings this luxurious festive hamper beautifully blends spirituality with premium craftsmanship.</p><p>The collection features three handcrafted designer rakhis, including a personalized initial rakhi, a sacred Om motif rakhi, and a vibrant peacock-inspired rakhi. Paired with an elegant decorative pooja thali complete with roli and chawal holders, this set brings together tradition, style, and thoughtful gifting in one premium package.</p><p>Crafted with high-quality beads, stones, pearls, and intricate detailing, every piece is designed to make your Raksha Bandhan celebrations more memorable while serving as a cherished keepsake for years to come.</p>",Delisha Karigari,Arts & Entertainment > Party & Celebration > Gift Giving > Gift Wrapping,Blessed Collection,"Blessed Collection, Festive, Ganesh, Gift, Handcrafted, Rakhi, Set",TRUE,Title,Default Title,DK-032,100,shopify,20,deny,manual,899.00,,TRUE,TRUE,https://res.cloudinary.com/m5yixuhw/image/upload/v1785441061/032_1_i8susx.png,1,Shree Ganesh Rakhi Trio,Shree Ganesh Rakhi Trio | Delisha Karigari,"Invoke Lord Ganesha's blessings with the Shree Ganesh Rakhi Trio a premium handcrafted Rakhi gift set featuring three designer rakhis, including a personalized ",active
shree-ganesh-rakhi-trio,,,,,,,,,,,,,,,,,,,,https://res.cloudinary.com/m5yixuhw/image/upload/v1785441062/032_2_ru34vl.png,2,Shree Ganesh Rakhi Trio - Image 2,,,
shree-ganesh-rakhi-trio,,,,,,,,,,,,,,,,,,,,https://res.cloudinary.com/m5yixuhw/image/upload/v1785441061/032_3_ivbglo.png,3,Shree Ganesh Rakhi Trio - Image 3,,,
handmade-designer-rakhi-combo-set-of-3-premium-colorful-beaded-rakhi-for-brother-raksha-bandhan-gift,Handmade Designer Rakhi Combo Set of 3 | Premium Colorful Beaded Rakhi for Brother | Raksha Bandhan Gift,"<p>Celebrate the bond of love with this handmade designer Rakhi combo set of 3 by Delisha Karigari. Featuring vibrant handcrafted beadwork and festive detailing, this premium Raksha Bandhan Rakhi set is perfect for brothers of all ages. Thoughtfully designed for tradition and style, it's an ideal gift to make your Raksha Bandhan celebrations even more memorable.</p>",Delisha Karigari,Arts & Entertainment > Party & Celebration > Gift Giving > Gift Wrapping,Royal Pearl Rakhi Collection,"Festive, Gift, Handcrafted, Rakhi, Royal Pearl Rakhi Collection, Set",TRUE,Title,Default Title,DK-300,100,shopify,20,deny,manual,699.00,,TRUE,TRUE,https://res.cloudinary.com/m5yixuhw/image/upload/v1785441062/030_2_lusm4b.png,1,Handmade Designer Rakhi Combo Set of 3 | Premium Colorful Beaded Rakhi for Brother | Raksha Bandhan Gift,Handmade Designer Rakhi Combo Set of 3 | Premium Colorful Beaded Rakhi,"Celebrate the bond of love with this handmade designer Rakhi combo set of 3 by Delisha Karigari. Featuring vibrant handcrafted beadwork and festive detailing, t",active
handmade-designer-rakhi-combo-set-of-3-premium-colorful-beaded-rakhi-for-brother-raksha-bandhan-gift,,,,,,,,,,,,,,,,,,,,https://res.cloudinary.com/m5yixuhw/image/upload/v1785441062/030_3_hjrlfl.png,2,Handmade Designer Rakhi Combo Set of 3 | Premium Colorful Beaded Rakhi for Brother | Raksha Bandhan Gift - Image 2,,,
emerald-noor-pearl-rakhi-lumba-set,Emerald Noor Pearl Rakhi Lumba Set,"<p>Add timeless elegance to your Raksha Bandhan celebrations with the Panna Pearl Lumba Set from Delisha Karigari. Inspired by royal Indian craftsmanship, this premium Bhaiya Bhabhi Rakhi set showcases a luxurious multi-layer pearl lumba paired with a matching handcrafted rakhi adorned with emerald green and ruby-toned stones.</p><p>The set comes complete with a beautifully embellished decorative pooja thali featuring roli and chawal holders, making it an ideal choice for traditional Raksha Bandhan rituals. Carefully handcrafted using premium pearls, sparkling stones, and intricate detailing, this elegant gift set is perfect for celebrating the cherished bond between Bhaiya and Bhabhi.</p>",Delisha Karigari,Arts & Entertainment > Party & Celebration > Gift Giving > Gift Wrapping,Royal Pearl Rakhi Collection,"Bhaiya Bhabhi, Festive, Gift, Handcrafted, Lumba, Pearl, Rakhi, Royal Pearl Rakhi Collection, Set",TRUE,Title,Default Title,DK-033,100,shopify,20,deny,manual,899.00,,TRUE,TRUE,https://res.cloudinary.com/m5yixuhw/image/upload/v1785528491/033_2_ayal4g.png,1,Emerald Noor Pearl Rakhi Lumba Set,Emerald Noor Pearl Rakhi Lumba Set | Delisha Karigari,Celebrate Raksha Bandhan in royal style with the Emerald Pearl Rakhi Lumba Set by Delisha Karigari. This handcrafted Bhaiya Bhabhi Rakhi set features an elegant,active
emerald-noor-pearl-rakhi-lumba-set,,,,,,,,,,,,,,,,,,,,https://res.cloudinary.com/m5yixuhw/image/upload/v1785528492/033_3_jxkuq7.png,2,Emerald Noor Pearl Rakhi Lumba Set - Image 2,,,
emerald-noor-pearl-rakhi-lumba-set,,,,,,,,,,,,,,,,,,,,https://res.cloudinary.com/m5yixuhw/image/upload/v1785528490/033_4_e5c9v2.png,3,Emerald Noor Pearl Rakhi Lumba Set - Image 3,,,
emerald-pearl-rakhi-lumba-set-premium-bhaiya-bhabhi-rakhi-with-pearl-lumba-evil-eye-charm,Emerald Pearl Rakhi Lumba Set | Premium Bhaiya Bhabhi Rakhi with Pearl Lumba & Evil Eye Charm,"<p>The Emerald Pearl Rakhi Lumba Set is a timeless blend of elegance, tradition, and protection. Handcrafted with lustrous pearls, emerald-inspired stones, sparkling embellishments, and a beautiful evil eye charm, this premium Bhaiya Bhabhi Rakhi set symbolizes love, prosperity, and positive energy.</p><p>Designed for modern celebrations while preserving traditional craftsmanship, this luxurious Rakhi set is perfect for gifting your Bhaiya and Bhabhi on Raksha Bandhan. Every detail reflects the premium artistry and festive elegance of Delisha Karigari, making it a keepsake they'll cherish long after the festival.</p>",Delisha Karigari,Arts & Entertainment > Party & Celebration > Gift Giving > Gift Wrapping,Royal Pearl Rakhi Collection,"Bhaiya Bhabhi, Festive, Gift, Handcrafted, Lumba, Nazariya, Pearl, Rakhi, Royal Pearl Rakhi Collection, Set",TRUE,Title,Default Title,DK-035,100,shopify,20,deny,manual,899.00,,TRUE,TRUE,https://res.cloudinary.com/m5yixuhw/image/upload/v1785528491/035_2_t01kp7.png,1,Emerald Pearl Rakhi Lumba Set | Premium Bhaiya Bhabhi Rakhi with Pearl Lumba & Evil Eye Charm,Emerald Pearl Rakhi Lumba Set | Premium Bhaiya Bhabhi Rakhi with Pearl,"Celebrate Raksha Bandhan with the Panna Nazariya Pearl Lumba Set by Delisha Karigari. This handcrafted Bhaiya Bhabhi Rakhi features an elegant pearl lumba, emer",active
emerald-pearl-rakhi-lumba-set-premium-bhaiya-bhabhi-rakhi-with-pearl-lumba-evil-eye-charm,,,,,,,,,,,,,,,,,,,,https://res.cloudinary.com/m5yixuhw/image/upload/v1785528502/035_3_vkwyti.png,2,Emerald Pearl Rakhi Lumba Set | Premium Bhaiya Bhabhi Rakhi with Pearl Lumba & Evil Eye Charm - Image 2,,,
ruby-panna-pearl-lumba-set,Ruby Panna Pearl Lumba Set,"<p>The Ruby Panna Pearl Lumba Set from Delisha Karigari's Regal Pearl Collection is inspired by timeless Indian royalty. Featuring premium pearls, ruby-red and emerald-green stone detailing, a matching designer rakhi, this handcrafted Bhaiya Bhabhi Rakhi set beautifully blends tradition with luxury. Perfect for gifting, it adds grace, blessings, and festive charm to your Raksha Bandhan celebrations while becoming a cherished keepsake.</p>",Delisha Karigari,Arts & Entertainment > Party & Celebration > Gift Giving > Gift Wrapping,Royal Pearl Rakhi Collection,"Bhaiya Bhabhi, Festive, Gift, Handcrafted, Lumba, Pearl, Rakhi, Royal Pearl Rakhi Collection, Set",TRUE,Title,Default Title,DK-036,100,shopify,20,deny,manual,899.00,,TRUE,TRUE,https://res.cloudinary.com/m5yixuhw/image/upload/v1785528493/036_2_i5luyp.png,1,Ruby Panna Pearl Lumba Set,Ruby Panna Pearl Lumba Set | Delisha Karigari,"Celebrate Raksha Bandhan with Delisha Karigari's handcrafted Ruby Panna Pearl Lumba Set, featuring a luxurious pearl lumba, matching designer rakhi, crafted to ",active
ruby-panna-pearl-lumba-set,,,,,,,,,,,,,,,,,,,,https://res.cloudinary.com/m5yixuhw/image/upload/v1785528495/036_3_dwcrey.png,2,Ruby Panna Pearl Lumba Set - Image 2,,,
neelam-pearl-bhaiya-bhabhi-rakhi-lumba-set,Neelam Pearl Bhaiya Bhabhi Rakhi Lumba Set,"<p>Celebrate the cherished bond of Raksha Bandhan with Delisha Karigari's Neelam Pearl Bhaiya Bhabhi Set. Crafted with premium pearl strands, a luxurious sapphire-blue centerpiece, delicate crystal detailing, and a matching designer rakhi, this elegant set beautifully blends traditional craftsmanship with contemporary luxury. A thoughtful keepsake for Bhaiya & Bhabhi that makes every Raksha Bandhan truly memorable.</p>",Delisha Karigari,Arts & Entertainment > Party & Celebration > Gift Giving > Gift Wrapping,Royal Pearl Rakhi Collection,"Bhaiya Bhabhi, Festive, Gift, Handcrafted, Lumba, Pearl, Rakhi, Royal Pearl Rakhi Collection, Set",TRUE,Title,Default Title,DK-037,100,shopify,20,deny,manual,899.00,,TRUE,TRUE,https://res.cloudinary.com/m5yixuhw/image/upload/v1785528493/037_2_ywd2ch.png,1,Neelam Pearl Bhaiya Bhabhi Rakhi Lumba Set,Neelam Pearl Bhaiya Bhabhi Rakhi Lumba Set | Delisha Karigari,"A handcrafted pearl Bhaiya Bhabhi Rakhi set adorned with a royal sapphire-inspired centerpiece, designed to add timeless elegance and festive charm to your Raks",active
neelam-pearl-bhaiya-bhabhi-rakhi-lumba-set,,,,,,,,,,,,,,,,,,,,https://res.cloudinary.com/m5yixuhw/image/upload/v1785528493/037_3_c8vofc.png,2,Neelam Pearl Bhaiya Bhabhi Rakhi Lumba Set - Image 2,,,
neelam-pearl-bhaiya-bhabhi-rakhi-lumba-set,,,,,,,,,,,,,,,,,,,,https://res.cloudinary.com/m5yixuhw/image/upload/v1785528495/037_5_nvexqw.png,3,Neelam Pearl Bhaiya Bhabhi Rakhi Lumba Set - Image 3,,,
panna-pearl-bhaiya-bhabhi-rakhi-lumba-set,Panna Pearl Bhaiya Bhabhi Rakhi Lumba Set,"<p>Celebrate the bond of love with Delisha Karigari's Panna Pearl Bhaiya Bhabhi Set from our Regal Pearl Collection. Designed with luxurious pearl strands, a stunning emerald-inspired centerpiece, gold accents, and a coordinating designer rakhi, this handcrafted festive set is perfect for gifting your Bhaiya & Bhabhi. A blend of elegance, tradition, and premium craftsmanship, it's a keepsake they'll cherish beyond Raksha Bandhan.</p>",Delisha Karigari,Arts & Entertainment > Party & Celebration > Gift Giving > Gift Wrapping,Royal Pearl Rakhi Collection,"Bhaiya Bhabhi, Festive, Gift, Handcrafted, Lumba, Pearl, Rakhi, Royal Pearl Rakhi Collection, Set",TRUE,Title,Default Title,DK-038,100,shopify,20,deny,manual,899.00,,TRUE,TRUE,https://res.cloudinary.com/m5yixuhw/image/upload/v1785528495/038_2_epjuhu.png,1,Panna Pearl Bhaiya Bhabhi Rakhi Lumba Set,Panna Pearl Bhaiya Bhabhi Rakhi Lumba Set | Delisha Karigari,"A handcrafted Bhaiya Bhabhi Rakhi set featuring elegant pearl strands, emerald-inspired stone detailing, and a matching designer rakhi perfect for celebrating R",active
